Postgres8,,,,,,,,,,
order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR32520302,1/3/25,789520,25891302,54,2025-01-04,2025-01-04,49,0,0,0
FMR33520601,1/3/25,789520,25891302,42,2025-01-04,2025-01-04,34,0,0,0
FMR34520302,1/3/25,789520,25891302,23,2025-01-04,2025-01-04,22,0,0,0
FMR32420602,1/3/25,789420,25891302,49,2025-01-04,2025-01-04,49,1,0,0
FMR32902402,1/3/25,789902,25891302,70,2025-01-04,2025-01-04,70,1,1,1
FMR32521302,1/3/25,789521,25891302,34,2025-01-04,2025-01-04,34,1,0,0
FMR32720302,1/3/25,789720,25891302,49,2025-01-04,2025-01-04,49,1,1,1
FMR33401603,1/3/25,789401,25891302,40,2025-01-04,2025-01-04,40,1,1,1
FMR33121302,1/3/25,789121,25891302,26,2025-01-04,2025-01-04,26,1,1,1
FMR32903403,1/3/25,789903,25891302,42,2025-01-04,2025-01-04,40,0,1,0
FMR32422302,1/3/25,789422,25891302,67,2025-01-04,2025-01-04,54,0,0,0
FMR32301302,1/3/25,789301,25891302,29,2025-01-04,2025-01-04,29,1,0,0
FMR33721603,1/3/25,789721,25891301,59,2025-01-04,2025-01-04,59,1,1,1
FMR32420403,1/3/25,789420,25891301,87,2025-01-04,2025-01-04,87,1,1,1
FMR33420301,1/3/25,789420,25891301,23,2025-01-04,2025-01-04,18,0,0,0
FMR33320501,1/3/25,789320,25891301,46,2025-01-04,2025-01-04,46,1,1,1
FMR33122301,1/3/25,789122,25891301,29,2025-01-04,2025-01-04,26,0,0,0
FMR34101301,1/3/25,789101,25891301,76,2025-01-04,2025-01-04,76,1,1,1
FMR33421301,1/3/25,789421,25891301,75,2025-01-04,2025-01-04,67,0,0,0
FMR34421301,1/3/25,789421,25891301,47,2025-01-04,2025-01-04,45,0,1,0
FMR34103403,1/3/25,789103,25891301,71,2025-01-04,2025-01-04,67,0,1,0
FMR32121301,1/3/25,789121,25891301,72,2025-01-04,2025-01-04,65,0,0,0
FMR34203601,1/3/25,789203,25891301,100,2025-01-04,2025-01-04,100,1,1,1
FMR33402303,1/3/25,789402,25891301,94,2025-01-04,2025-01-04,94,1,1,1
FMR34221301,1/3/25,789221,25891301,44,2025-01-04,2025-01-04,44,1,1,1
FMR34202301,1/3/25,789202,25891301,45,2025-01-04,2025-01-04,45,1,1,1
FMR32522301,1/3/25,789522,25891301,46,2025-01-04,2025-01-04,46,1,0,0
FMR34522403,1/3/25,789522,25891301,47,2025-01-04,2025-01-04,38,0,0,0
FMR34520301,1/3/25,789520,25891301,38,2025-01-04,2025-01-04,34,0,1,0
FMR33301301,1/3/25,789301,25891301,92,2025-01-04,2025-01-04,83,0,1,0
FMR34303602,1/3/25,789303,25891301,44,2025-01-04,2025-01-04,40,0,1,0
FMR33220603,1/3/25,789220,25891301,75,2025-01-04,2025-01-04,75,1,1,1
FMR32422301,1/3/25,789422,25891301,63,2025-01-04,2025-01-04,63,1,1,1
FMR33422301,1/3/25,789422,25891301,63,2025-01-04,2025-01-04,60,0,0,0
FMR34303602,1/3/25,789303,25891102,352,2025-01-04,2025-01-04,317,0,1,0
FMR34401102,1/3/25,789401,25891102,369,2025-01-04,2025-01-04,369,1,1,1
FMR34520302,1/3/25,789520,25891102,373,2025-01-04,2025-01-04,336,0,0,0
FMR32121102,1/3/25,789121,25891102,397,2025-01-04,2025-01-04,377,0,1,0
FMR33902203,1/3/25,789902,25891102,494,2025-01-04,2025-01-04,395,0,1,0
FMR34902102,1/3/25,789902,25891102,465,2025-01-04,2025-01-04,465,1,0,0
FMR32503401,1/3/25,789503,25891102,459,2025-01-04,2025-01-04,367,0,1,0
FMR32720302,1/3/25,789720,25891102,402,2025-01-04,2025-01-04,402,1,1,1
FMR33720202,1/3/25,789720,25891102,483,2025-01-04,2025-01-04,483,1,1,1
FMR34321602,1/3/25,789321,25891102,368,2025-01-04,2025-01-04,331,0,1,0
FMR32103503,1/3/25,789103,25891102,307,2025-01-04,2025-01-04,246,0,1,0
FMR32421102,1/3/25,789421,25891102,309,2025-01-04,2025-01-04,278,0,0,0
FMR34421301,1/3/25,789421,25891102,412,2025-01-04,2025-01-04,391,0,1,0
FMR34320102,1/3/25,789320,25891102,432,2025-01-04,2025-01-04,432,1,0,0
FMR32420102,1/3/25,789420,25891102,310,2025-01-04,2025-01-04,310,1,0,0
FMR32702601,1/3/25,789702,25891102,478,2025-01-04,2025-01-04,454,0,1,0
FMR34220601,1/3/25,789220,25891102,473,2025-01-04,2025-01-04,473,1,1,1
FMR34201202,1/3/25,789201,25891102,372,2025-01-04,2025-01-04,353,0,1,0
FMR32102102,1/3/25,789102,25891102,496,2025-01-04,2025-01-04,496,1,1,1
FMR34122102,1/3/25,789122,25891102,443,2025-01-04,2025-01-04,399,0,0,0
FMR33621102,1/3/25,789621,25891102,480,2025-01-04,2025-01-04,480,1,0,0
FMR32622502,1/3/25,789622,25891502,153,2025-01-04,2025-01-04,138,0,1,0
FMR33622502,1/3/25,789622,25891502,132,2025-01-04,2025-01-04,132,1,1,1
FMR32420602,1/3/25,789420,25891502,165,2025-01-04,2025-01-04,157,0,0,0
FMR32201502,1/3/25,789201,25891502,160,2025-01-04,2025-01-04,160,1,1,1
FMR33220603,1/3/25,789220,25891502,211,2025-01-04,2025-01-04,211,1,1,1
FMR33202502,1/3/25,789202,25891502,141,2025-01-04,2025-01-04,134,0,1,0
FMR33520502,1/3/25,789520,25891502,173,2025-01-04,2025-01-04,173,1,0,0
FMR34520503,1/3/25,789520,25891502,143,2025-01-04,2025-01-04,129,0,0,0
FMR33503502,1/3/25,789503,25891502,238,2025-01-04,2025-01-04,238,1,1,1
FMR34503502,1/3/25,789503,25891502,231,2025-01-04,2025-01-04,231,1,1,1
FMR33401603,1/3/25,789401,25891502,140,2025-01-04,2025-01-04,133,0,1,0
FMR34401503,1/3/25,789401,25891502,200,2025-01-04,2025-01-04,200,1,1,1
FMR34721502,1/3/25,789721,25891502,123,2025-01-04,2025-01-04,98,0,0,0
FMR34702502,1/3/25,789702,25891502,239,2025-01-04,2025-01-04,215,0,1,0
FMR33521502,1/3/25,789521,25891502,167,2025-01-04,2025-01-04,167,1,0,0
FMR33520502,1/3/25,789520,25891403,359,2025-01-04,2025-01-04,341,0,0,0
FMR33320501,1/3/25,789320,25891403,239,2025-01-04,2025-01-04,239,1,1,1
FMR34422403,1/3/25,789422,25891403,265,2025-01-04,2025-01-04,252,0,0,0
FMR32903403,1/3/25,789903,25891403,244,2025-01-04,2025-01-04,220,0,1,0
FMR32420403,1/3/25,789420,25891403,397,2025-01-04,2025-01-04,318,0,1,0
FMR33101403,1/3/25,789101,25891403,315,2025-01-04,2025-01-04,283,0,1,0
FMR32202603,1/3/25,789202,25891403,440,2025-01-04,2025-01-04,440,1,1,1
FMR34303602,1/3/25,789303,25891403,427,2025-01-04,2025-01-04,406,0,1,0
FMR32121403,1/3/25,789121,25891403,441,2025-01-04,2025-01-04,441,1,1,1
FMR34522403,1/3/25,789522,25891403,320,2025-01-04,2025-01-04,320,1,0,0
FMR34103403,1/3/25,789103,25891403,467,2025-01-04,2025-01-04,420,0,1,0
FMR32220503,1/3/25,789220,25891403,465,2025-01-04,2025-01-04,372,0,1,0
FMR32622503,1/3/25,789622,25891503,208,2025-01-04,2025-01-04,198,0,1,0
FMR34622602,1/3/25,789622,25891503,241,2025-01-04,2025-01-04,241,1,1,1
FMR33720503,1/3/25,789720,25891503,146,2025-01-04,2025-01-04,146,1,0,0
FMR32220503,1/3/25,789220,25891503,115,2025-01-04,2025-01-04,103,0,1,0
FMR33220603,1/3/25,789220,25891503,239,2025-01-04,2025-01-04,239,1,1,1
FMR34321602,1/3/25,789321,25891503,246,2025-01-04,2025-01-04,246,1,1,1
FMR32221603,1/3/25,789221,25891503,158,2025-01-04,2025-01-04,158,1,1,1
FMR33221503,1/3/25,789221,25891503,106,2025-01-04,2025-01-04,101,0,1,0
FMR32103503,1/3/25,789103,25891503,126,2025-01-04,2025-01-04,120,0,1,0
FMR33401603,1/3/25,789401,25891503,161,2025-01-04,2025-01-04,145,0,1,0
FMR34401503,1/3/25,789401,25891503,192,2025-01-04,2025-01-04,192,1,1,1
FMR34721503,1/3/25,789721,25891503,144,2025-01-04,2025-01-04,137,0,1,0
FMR33320503,1/3/25,789320,25891503,140,2025-01-04,2025-01-04,140,1,0,0
FMR34520503,1/3/25,789520,25891503,233,2025-01-04,2025-01-04,221,0,0,0
FMR32101601,1/3/25,789101,25891503,183,2025-01-04,2025-01-04,183,1,1,1
FMR32422503,1/3/25,789422,25891503,138,2025-01-04,2025-01-04,110,0,0,0
FMR34603302,1/3/25,789603,25891103,378,2025-01-04,2025-01-04,378,1,1,1
FMR34702602,1/3/25,789702,25891103,480,2025-01-04,2025-01-04,432,0,1,0
FMR32601103,1/3/25,789601,25891103,310,2025-01-04,2025-01-04,294,0,1,0
FMR34601402,1/3/25,789601,25891103,388,2025-01-04,2025-01-04,310,0,1,0
FMR33303501,1/3/25,789303,25891103,335,2025-01-04,2025-01-04,335,1,1,1
FMR32621103,1/3/25,789621,25891103,431,2025-01-04,2025-01-04,431,1,1,1
FMR34621103,1/3/25,789621,25891103,357,2025-01-04,2025-01-04,339,0,1,0
FMR32501601,1/3/25,789501,25891103,318,2025-01-04,2025-01-04,318,1,1,1
FMR33501401,1/3/25,789501,25891103,400,2025-01-04,2025-01-04,400,1,1,1
FMR34501203,1/3/25,789501,25891103,327,2025-01-04,2025-01-04,327,1,1,1
FMR34402202,1/3/25,789402,25891103,340,2025-01-04,2025-01-04,272,0,1,0
FMR32221603,1/3/25,789221,25891103,430,2025-01-04,2025-01-04,430,1,1,1
FMR33522103,1/3/25,789522,25891103,384,2025-01-04,2025-01-04,384,1,0,0
FMR33503502,1/3/25,789503,25891103,325,2025-01-04,2025-01-04,309,0,1,0
FMR33122301,1/3/25,789122,25891103,403,2025-01-04,2025-01-04,403,1,0,0
FMR34122103,1/3/25,789122,25891103,458,2025-01-04,2025-01-04,458,1,1,1
FMR32401103,1/3/25,789401,25891103,476,2025-01-04,2025-01-04,476,1,1,1
FMR34301103,1/3/25,789301,25891103,351,2025-01-04,2025-01-04,351,1,0,0
FMR34902103,1/3/25,789902,25891103,456,2025-01-04,2025-01-04,410,0,0,0
FMR32202603,1/3/25,789202,25891103,389,2025-01-04,2025-01-04,370,0,1,0
FMR34721103,1/3/25,789721,25891103,468,2025-01-04,2025-01-04,468,1,0,0
FMR33420203,1/3/25,789420,25891103,357,2025-01-04,2025-01-04,357,1,0,0
FMR34420402,1/3/25,789420,25891103,325,2025-01-04,2025-01-04,325,1,0,0
FMR32321103,1/3/25,789321,25891103,478,2025-01-04,2025-01-04,478,1,0,0
FMR33321602,1/3/25,789321,25891103,465,2025-01-04,2025-01-04,419,0,1,0
FMR32422401,1/3/25,789422,25891103,317,2025-01-04,2025-01-04,317,1,0,0
FMR34522601,1/3/25,789522,25891601,181,2025-01-04,2025-01-04,163,0,0,0
FMR32202603,1/3/25,789202,25891601,125,2025-01-04,2025-01-04,119,0,1,0
FMR32702601,1/3/25,789702,25891601,93,2025-01-04,2025-01-04,74,0,1,0
FMR33520601,1/3/25,789520,25891601,182,2025-01-04,2025-01-04,146,0,0,0
FMR32902601,1/3/25,789902,25891601,93,2025-01-04,2025-01-04,88,0,0,0
FMR33103602,1/3/25,789103,25891601,188,2025-01-04,2025-01-04,150,0,1,0
FMR33201602,1/3/25,789201,25891601,180,2025-01-04,2025-01-04,171,0,1,0
FMR34622602,1/3/25,789622,25891601,96,2025-01-04,2025-01-04,91,0,1,0
FMR32101601,1/3/25,789101,25891601,124,2025-01-04,2025-01-04,124,1,1,1
FMR34220601,1/3/25,789220,25891601,78,2025-01-04,2025-01-04,78,1,1,1
FMR34122601,1/3/25,789122,25891601,68,2025-01-04,2025-01-04,61,0,0,0
FMR33321601,1/3/25,789321,25891601,157,2025-01-04,2025-01-04,157,1,0,0
FMR33903601,1/3/25,789903,25891601,93,2025-01-04,2025-01-04,84,0,1,0
FMR34621601,1/3/25,789621,25891601,170,2025-01-04,2025-01-04,170,1,0,0
FMR32421601,1/3/25,789421,25891601,108,2025-01-04,2025-01-04,103,0,1,0
FMR34421601,1/3/25,789421,25891601,75,2025-01-04,2025-01-04,75,1,0,0
FMR33102601,1/3/25,789102,25891601,180,2025-01-04,2025-01-04,180,1,1,1
FMR33401603,1/3/25,789401,25891203,429,2025-01-04,2025-01-04,429,1,1,1
FMR32501601,1/3/25,789501,25891601,139,2025-01-04,2025-01-04,139,1,1,1
FMR32603203,1/3/25,789603,25891203,460,2025-01-04,2025-01-04,460,1,0,0
FMR34420402,1/3/25,789420,25891402,353,2025-01-04,2025-01-04,353,1,0,0
FMR34401402,1/3/25,789401,25891402,468,2025-01-04,2025-01-04,468,1,0,0
FMR34720402,1/3/25,789720,25891402,472,2025-01-04,2025-01-04,448,0,0,0
FMR34721503,1/3/25,789721,25891402,436,2025-01-04,2025-01-04,414,0,1,0
FMR34601402,1/3/25,789601,25891402,208,2025-01-04,2025-01-04,208,1,1,1
FMR32520603,1/3/25,789520,25891402,287,2025-01-04,2025-01-04,258,0,1,0
FMR33503502,1/3/25,789503,25891402,450,2025-01-04,2025-01-04,450,1,1,1
FMR32203402,1/3/25,789203,25891402,488,2025-01-04,2025-01-04,488,1,1,1
FMR32902402,1/3/25,789902,25891402,405,2025-01-04,2025-01-04,405,1,1,1
FMR33321602,1/3/25,789321,25891402,283,2025-01-04,2025-01-04,283,1,1,1
FMR33122402,1/3/25,789122,25891402,460,2025-01-04,2025-01-04,437,0,0,0
FMR34122402,1/3/25,789122,25891402,256,2025-01-04,2025-01-04,205,0,1,0
FMR34621601,1/3/25,789621,25891402,220,2025-01-04,2025-01-04,220,1,0,0
FMR32221402,1/3/25,789221,25891402,384,2025-01-04,2025-01-04,384,1,0,0
FMR33221402,1/3/25,789221,25891402,342,2025-01-04,2025-01-04,342,1,0,0
FMR32622402,1/3/25,789622,25891402,309,2025-01-04,2025-01-04,247,0,0,0
FMR34622602,1/3/25,789622,25891402,462,2025-01-04,2025-01-04,439,0,1,0
FMR32202402,1/3/25,789202,25891402,442,2025-01-04,2025-01-04,442,1,0,0
FMR34301602,1/3/25,789301,25891201,308,2025-01-04,2025-01-04,308,1,1,1
FMR33521201,1/3/25,789521,25891201,487,2025-01-04,2025-01-04,463,0,0,0
FMR33401603,1/3/25,789401,25891201,461,2025-01-04,2025-01-04,461,1,1,1
FMR33320501,1/3/25,789320,25891201,354,2025-01-04,2025-01-04,354,1,1,1
FMR32321201,1/3/25,789321,25891201,374,2025-01-04,2025-01-04,374,1,1,1
FMR34102602,1/3/25,789102,25891201,440,2025-01-04,2025-01-04,440,1,1,1
FMR32103503,1/3/25,789103,25891201,112,2025-01-04,2025-01-04,101,0,1,0
FMR32501201,1/3/25,789501,25891201,273,2025-01-04,2025-01-04,273,1,1,1
FMR34220601,1/3/25,789220,25891201,378,2025-01-04,2025-01-04,378,1,1,1
FMR34702502,1/3/25,789702,25891201,156,2025-01-04,2025-01-04,156,1,1,1
FMR34201201,1/3/25,789201,25891201,291,2025-01-04,2025-01-04,233,0,0,0
FMR32622502,1/3/25,789622,25891201,274,2025-01-04,2025-01-04,247,0,1,0
FMR34101201,1/3/25,789101,25891201,489,2025-01-04,2025-01-04,489,1,0,0
FMR34520602,1/3/25,789520,25891501,204,2025-01-04,2025-01-04,184,0,0,0
FMR33203603,1/3/25,789203,25891501,104,2025-01-04,2025-01-04,104,1,1,1
FMR34420501,1/3/25,789420,25891501,210,2025-01-04,2025-01-04,210,1,0,0
FMR33403501,1/3/25,789403,25891501,241,2025-01-04,2025-01-04,229,0,1,0
FMR34121501,1/3/25,789121,25891501,159,2025-01-04,2025-01-04,127,0,1,0
FMR34903603,1/3/25,789903,25891501,136,2025-01-04,2025-01-04,136,1,1,1
FMR33320501,1/3/25,789320,25891501,249,2025-01-04,2025-01-04,249,1,1,1
FMR32221603,1/3/25,789221,25891501,140,2025-01-04,2025-01-04,140,1,1,1
FMR32101601,1/3/25,789101,25891501,241,2025-01-04,2025-01-04,241,1,1,1
FMR33303501,1/3/25,789303,25891501,105,2025-01-04,2025-01-04,105,1,1,1
FMR32102602,1/3/25,789102,25891501,114,2025-01-04,2025-01-04,91,0,1,0
FMR32402602,1/3/25,789402,25891501,223,2025-01-04,2025-01-04,223,1,1,1
FMR33720501,1/3/25,789720,25891501,182,2025-01-04,2025-01-04,182,1,1,1
FMR32301603,1/3/25,789301,25891501,238,2025-01-04,2025-01-04,238,1,1,1
FMR34301602,1/3/25,789301,25891602,92,2025-01-04,2025-01-04,83,0,1,0
FMR34303602,1/3/25,789303,25891602,98,2025-01-04,2025-01-04,98,1,1,1
FMR34702602,1/3/25,789702,25891602,155,2025-01-04,2025-01-04,155,1,1,1
FMR32102602,1/3/25,789102,25891602,63,2025-01-04,2025-01-04,63,1,1,1
FMR34102602,1/3/25,789102,25891602,154,2025-01-04,2025-01-04,154,1,1,1
FMR34703602,1/3/25,789703,25891602,163,2025-01-04,2025-01-04,163,1,1,1
FMR32420602,1/3/25,789420,25891602,76,2025-01-04,2025-01-04,76,1,0,0
FMR33321602,1/3/25,789321,25891602,78,2025-01-04,2025-01-04,74,0,1,0
FMR34321602,1/3/25,789321,25891602,60,2025-01-04,2025-01-04,60,1,1,1
FMR32402602,1/3/25,789402,25891602,172,2025-01-04,2025-01-04,163,0,1,0
FMR33203603,1/3/25,789203,25891602,184,2025-01-04,2025-01-04,184,1,1,1
FMR32103602,1/3/25,789103,25891602,86,2025-02-04,2025-01-04,77,0,1,0
FMR33103602,1/3/25,789103,25891602,172,2025-02-04,2025-01-04,163,0,1,0
FMR33201602,1/3/25,789201,25891602,52,2025-02-04,2025-01-04,52,1,1,1
FMR34320602,1/3/25,789320,25891602,190,2025-02-04,2025-01-04,190,1,1,1
FMR34520602,1/3/25,789520,25891602,164,2025-02-04,2025-01-04,131,0,0,0
FMR34622602,1/3/25,789622,25891602,54,2025-02-04,2025-01-04,54,1,1,1
FMR32220602,1/3/25,789220,25891602,77,2025-02-04,2025-01-04,77,1,1,1
FMR33220603,1/3/25,789220,25891602,65,2025-02-04,2025-01-04,65,1,1,1
FMR33721603,1/3/25,789721,25891602,148,2025-02-04,2025-01-04,148,1,1,1
FMR33501401,1/3/25,789501,25891101,484,2025-02-04,2025-01-04,484,1,1,1
FMR32101601,1/3/25,789101,25891101,474,2025-02-04,2025-01-04,474,1,1,1
FMR33101403,1/3/25,789101,25891101,349,2025-02-04,2025-01-04,349,1,1,1
FMR32703401,1/3/25,789703,25891101,492,2025-02-04,2025-01-04,492,1,1,1
FMR33321602,1/3/25,789321,25891101,345,2025-02-04,2025-01-04,345,1,1,1
FMR32203101,1/3/25,789203,25891101,409,2025-02-04,2025-01-04,389,0,0,0
FMR33203603,1/3/25,789203,25891101,368,2025-02-04,2025-01-04,294,0,1,0
FMR32903403,1/3/25,789903,25891101,343,2025-02-04,2025-01-04,326,0,1,0
FMR34122303,1/3/25,789122,25891101,410,2025-02-04,2025-01-04,390,0,0,0
FMR33202502,1/3/25,789202,25891101,391,2025-02-04,2025-01-04,391,1,1,1
FMR34202301,1/3/25,789202,25891101,431,2025-02-04,2025-01-04,431,1,1,1
FMR33403501,1/3/25,789403,25891101,379,2025-02-04,2025-01-04,379,1,1,1
FMR34401102,1/3/25,789401,25891101,454,2025-02-04,2025-01-04,454,1,1,1
FMR33503502,1/3/25,789503,25891101,362,2025-02-04,2025-01-04,362,1,1,1
FMR33420101,1/3/25,789420,25891101,306,2025-02-04,2025-01-04,306,1,0,0
FMR34420501,1/3/25,789420,25891101,494,2025-02-04,2025-01-04,494,1,0,0
FMR34622101,1/3/25,789622,25891101,423,2025-02-04,2025-01-04,402,0,1,0
FMR34520301,1/3/25,789520,25891101,428,2025-04-28,2025-01-04,385,0,1,0
FMR34422101,1/3/25,789422,25891101,444,2025-03-29,2025-01-04,444,1,0,0
FMR34603401,1/3/25,789603,25891401,313,2025-03-29,2025-01-04,313,1,0,0
FMR33501401,1/3/25,789501,25891401,288,2025-03-29,2025-01-04,259,0,1,0
FMR32503401,1/3/25,789503,25891401,449,2025-03-29,2025-01-04,449,1,1,1
FMR33202502,1/3/25,789202,25891401,215,2025-03-29,2025-01-04,215,1,1,1
FMR34702502,1/3/25,789702,25891401,355,2025-03-29,2025-01-04,337,0,1,0
FMR32703401,1/3/25,789703,25891401,234,2025-03-29,2025-01-04,234,1,1,1
FMR32422401,1/3/25,789422,25891401,342,2025-03-29,2025-01-04,342,1,0,0
FMR32122401,1/3/25,789122,25891401,240,2025-03-29,2025-01-04,228,0,0,0
FMR33201602,1/3/25,789201,25891401,480,2025-03-29,2025-01-04,456,0,1,0
FMR33103401,1/3/25,789103,25891401,306,2025-03-29,2025-01-04,291,0,1,0
FMR34103403,1/3/25,789103,25891401,399,2025-03-29,2025-01-04,359,0,1,0
FMR32403401,1/3/25,789403,25891401,473,2025-03-29,2025-01-04,473,1,1,1
FMR32520603,1/3/25,789520,25891603,67,2025-03-29,2025-01-04,64,0,1,0
FMR33220603,1/3/25,789220,25891603,51,2025-03-29,2025-01-04,46,0,1,0
FMR33603603,1/3/25,789603,25891603,183,2025-03-29,2025-01-04,183,1,0,0
FMR32221603,1/3/25,789221,25891603,100,2025-03-29,2025-01-04,80,0,1,0
FMR33401603,1/3/25,789401,25891603,127,2025-04-29,2025-01-04,127,1,1,1
FMR33420603,1/3/25,789420,25891603,129,2025-03-30,2025-01-04,129,1,1,1
FMR32121603,1/3/25,789121,25891603,200,2025-03-30,2025-01-04,180,0,0,0
FMR32421603,1/3/25,789421,25891603,172,2025-03-30,2025-01-04,155,0,0,0
FMR32903603,1/3/25,789903,25891603,128,2025-03-30,2025-01-04,115,0,0,0
FMR34903603,1/3/25,789903,25891603,148,2025-03-30,2025-01-04,133,0,1,0
FMR33703603,1/3/25,789703,25891603,165,2025-03-30,2025-01-04,165,1,1,1
FMR32303603,1/3/25,789303,25891603,169,2025-03-30,2025-01-04,169,1,1,1
FMR32301603,1/3/25,789301,25891603,134,2025-03-30,2025-01-04,121,0,1,0
FMR33203603,1/3/25,789203,25891603,122,2025-03-30,2025-01-04,122,1,1,1
FMR32202603,1/3/25,789202,25891603,186,2025-03-30,2025-01-04,186,1,1,1
FMR32721603,1/3/25,789721,25891603,140,2025-03-30,2025-01-04,126,0,1,0
FMR33721603,1/3/25,789721,25891603,195,2025-03-30,2025-01-04,195,1,1,1
FMR33621603,1/3/25,789621,25891603,69,2025-03-30,2025-01-04,69,1,1,1
FMR32102202,1/3/25,789102,25891202,106,2025-03-30,2025-01-04,106,1,0,0
FMR33102601,1/3/25,789102,25891202,419,2025-03-30,2025-01-04,419,1,1,1
FMR33402303,1/3/25,789402,25891202,167,2025-03-30,2025-01-04,167,1,1,1
FMR34402202,1/3/25,789402,25891202,457,2025-03-30,2025-01-04,457,1,1,1
FMR33622502,1/3/25,789622,25891202,294,2025-03-30,2025-01-04,294,1,1,1
FMR34902202,1/3/25,789902,25891202,311,2025-03-30,2025-01-04,311,1,1,1
FMR32320202,1/3/25,789320,25891202,211,2025-03-30,2025-01-04,211,1,0,0
FMR33320202,1/3/25,789320,25891202,209,2025-03-30,2025-01-04,188,0,0,0
FMR32403401,1/3/25,789403,25891202,472,2025-03-30,2025-01-04,472,1,1,1
FMR34703602,1/3/25,789703,25891202,185,2025-03-30,2025-01-04,167,0,1,0
FMR34303602,1/3/25,789303,25891202,160,2025-03-30,2025-01-04,144,0,1,0
FMR32721603,1/3/25,789721,25891202,178,2025-03-30,2025-01-04,169,0,1,0
FMR33421203,1/3/25,789421,25891202,332,2025-03-30,2025-01-04,332,1,0,0
FMR34421601,1/3/25,789421,25891202,132,2025-03-30,2025-01-04,125,0,0,0
FMR33101202,1/3/25,789101,25891202,150,2025-03-30,2025-01-04,150,1,0,0
FMR34401503,1/3/25,789401,25891202,173,2025-03-30,2025-01-04,173,1,1,1
FMR33503502,1/3/25,789503,25891202,214,2025-04-30,2025-01-04,214,1,1,1
FMR33601202,1/3/25,789601,25891202,411,2025-03-31,2025-01-04,390,0,0,0
FMR34201202,1/3/25,789201,25891202,175,2025-03-31,2025-01-04,175,1,1,1
FMR32521202,1/3/25,789521,25891202,479,2025-03-31,2025-01-04,479,1,0,0
FMR33521202,1/3/25,789521,25891202,347,2025-03-31,2025-01-04,347,1,1,1
FMR34520602,1/3/25,789520,25891202,200,2025-03-31,2025-01-04,200,1,0,0
FMR33720202,1/3/25,789720,25891202,270,2025-03-31,2025-01-04,270,1,1,1
FMR32202603,1/3/25,789202,25891202,342,2025-03-31,2025-01-04,274,0,1,0
FMR33202502,1/3/25,789202,25891202,130,2025-03-31,2025-01-04,130,1,1,1
FMR33522202,1/3/25,789522,25891202,280,2025-03-31,2025-01-04,252,0,1,0
FMR32203402,1/3/25,789203,25891303,64,2025-03-31,2025-01-04,64,1,1,1
FMR33103602,1/3/25,789103,25891303,40,2025-03-31,2025-01-04,32,0,1,0
FMR32721603,1/3/25,789721,25891303,69,2025-03-31,2025-01-04,69,1,1,1
FMR32522303,1/3/25,789522,25891303,63,2025-03-31,2025-01-04,50,0,1,0
FMR32601303,1/3/25,789601,25891303,95,2025-03-31,2025-01-04,95,1,0,0
